Session	Time	Date	Author	Event	Parameter	Details
1	0	2011-10-04 08:42:13	31	aResource	773	NA
1	16	2011-10-04 08:42:29	31	eResource	773	NA
1	0	2011-10-04 08:42:29	31	vResource	773	NA
1	20	2011-10-04 08:42:49	31	rResource	773	NA
1	0	2011-10-04 10:22:31	8	vGroup	87	NA
1	0	2011-10-04 11:37:47	9	login	NA	NA
1	0	2011-10-04 11:37:47	9	vGroup	136	NA
1	6	2011-10-04 11:37:53	9	vResource	773	NA
2	0	2011-10-04 12:14:51	8	vResource	773	NA
2	49	2011-10-04 12:15:40	8	vGroup	87	NA
1	0	2011-10-04 12:16:45	1	vResource	773	NA
1	0	2011-10-04 12:29:11	33	vResource	773	NA
1	831	2011-10-04 12:30:36	1	vResource	773	NA
1	0	2011-10-04 12:33:36	32	vResource	773	NA
1	366	2011-10-04 12:35:17	33	vResource	773	NA
1	992	2011-10-04 12:51:49	33	vGroup	137	NA
2	0	2011-10-04 14:52:55	31	login	NA	NA
2	0	2011-10-04 14:52:55	31	vGroup	136	NA
2	0	2011-10-04 14:56:35	1	vGroup	87	NA
2	694	2011-10-04 15:04:29	31	aResource	776	NA
2	864	2011-10-04 15:10:59	1	vResource	776	NA
2	468	2011-10-04 15:18:47	1	vGroup	87	NA
3	0	2011-10-04 19:14:18	31	login	NA	NA
3	0	2011-10-04 19:14:18	31	vGroup	136	NA
3	0	2011-10-04 19:14:18	31	vResource	776	NA
3	1313	2011-10-04 19:36:11	31	vResource	776	NA
3	10	2011-10-04 19:36:21	31	dResource	776	NA
4	0	2011-10-05 00:10:15	31	login	NA	NA
4	0	2011-10-05 00:10:15	31	vGroup	136	NA
2	0	2011-10-05 11:51:27	9	login	NA	NA
2	0	2011-10-05 11:51:27	9	vGroup	136	NA
3	0	2011-10-05 12:51:14	1	login	NA	NA
3	0	2011-10-05 12:51:14	1	vGroup	136	NA
3	0	2011-10-05 12:57:11	8	vGroup	87	NA
3	917	2011-10-05 13:06:31	1	aResource	784	NA
3	97	2011-10-05 13:08:08	1	vResource	784	NA
3	33	2011-10-05 13:08:41	1	rResource	784	NA
3	427	2011-10-05 13:15:48	1	aAnnotation	293	NA
3	462	2011-10-05 13:23:30	1	aScript	152	NA
3	127	2011-10-05 13:25:37	1	eScript	152	add:784
3	1008	2011-10-05 13:42:25	1	aComposition	76	NA
3	0	2011-10-05 16:41:03	9	login	NA	NA
3	0	2011-10-05 16:41:03	9	vGroup	136	NA
3	50	2011-10-05 16:41:53	9	vResource	784	NA
4	0	2011-10-05 17:10:34	1	login	NA	NA
4	0	2011-10-05 17:10:34	1	vGroup	136	NA
5	0	2011-10-05 17:46:28	1	login	NA	NA
5	0	2011-10-05 17:46:28	1	vGroup	136	NA
5	0	2011-10-05 17:46:28	1	vResource	784	NA
5	161	2011-10-05 17:49:09	1	vGroup	87	NA
5	0	2011-10-05 21:56:46	31	login	NA	NA
5	0	2011-10-05 21:56:46	31	vGroup	136	NA
5	1	2011-10-05 21:56:47	31	vResource	784	NA
5	315	2011-10-05 22:02:02	31	pScript	152	NA
5	0	2011-10-05 22:02:02	31	vResource	784	NA
5	190	2011-10-05 22:05:12	31	aResource	785	NA
5	25	2011-10-05 22:05:37	31	vResource	785	NA
5	35	2011-10-05 22:06:12	31	rResource	785	NA
5	148	2011-10-05 22:08:40	31	aAnnotation	294	NA
6	0	2011-10-05 23:44:00	1	vResource	785	NA
7	0	2011-10-06 00:14:25	1	vResource	785	NA
4	0	2011-10-06 10:44:48	8	vResource	784	NA
4	238	2011-10-06 10:48:46	8	login	NA	NA
4	0	2011-10-06 10:48:46	8	vGroup	136	NA
4	455	2011-10-06 10:56:21	8	vGroup	87	NA
5	0	2011-10-06 11:43:58	8	vGroup	87	NA
5	1295	2011-10-06 12:05:33	8	vResource	785	NA
5	30	2011-10-06 12:06:03	8	vResource	773	NA
5	366	2011-10-06 12:12:09	8	vGroup	87	NA
8	0	2011-10-06 12:32:15	1	vResource	785	NA
8	591	2011-10-06 12:42:06	1	vResource	785	NA
1	0	2011-10-06 12:46:37	3	vResource	785	NA
2	0	2011-10-06 14:03:53	33	login	NA	NA
2	0	2011-10-06 14:03:53	33	vGroup	136	NA
2	0	2011-10-06 14:03:53	33	vResource	785	NA
2	69	2011-10-06 14:05:02	33	vResource	784	NA
3	0	2011-10-10 10:24:24	33	login	NA	NA
3	0	2011-10-10 10:24:24	33	vGroup	136	NA
3	0	2011-10-10 10:24:24	33	vResource	784	NA
4	0	2011-10-10 11:04:16	33	vResource	784	NA
