Session	Time	Date	Author	Event	Parameter	Details
1	0	2014-01-30 20:28:29	1	aResource	1464	NA
1	3	2014-01-30 20:28:32	1	vResource	1464	NA
1	95	2014-01-30 20:30:07	1	aAnnotation	1565	NA
1	10	2014-01-30 20:30:17	1	vResource	1464	NA
1	0	2014-02-17 23:13:52	113	aComposition	259	NA
1	4	2014-02-17 23:13:56	113	eComposition	259	add/2100
1	15	2014-02-17 23:14:11	113	eComposition	259	edit/2100
1	33	2014-02-17 23:14:44	113	eComposition	259	add/2101
1	53	2014-02-17 23:15:37	113	eComposition	259	edit/2101
1	3	2014-02-17 23:15:40	113	eComposition	259	add/
1	2	2014-02-17 23:15:42	113	eComposition	259	edit/2101
1	44	2014-02-17 23:16:26	113	eComposition	259	add/2102
1	3	2014-02-17 23:16:29	113	eComposition	259	order
1	4	2014-02-17 23:16:33	113	eComposition	259	edit/2102
1	20	2014-02-17 23:16:53	113	eComposition	259	edit/2102
1	31	2014-02-17 23:17:24	113	aScript	323	NA
1	10	2014-02-17 23:17:34	113	vResource	1464	NA
1	34	2014-02-17 23:18:08	113	vResource	1464	NA
1	109	2014-02-17 23:19:57	113	vResource	1464	NA
1	412	2014-02-17 23:26:49	113	vResource	1464	NA
1	209	2014-02-17 23:30:18	113	vResource	1464	NA
1	136	2014-02-17 23:32:34	113	vCampus	186	NA
2	0	2014-02-18 12:54:58	1	vComposition	259	NA
2	100	2014-02-18 12:56:38	1	vComposition	259	NA
2	26	2014-02-18 12:57:04	1	vComposition	259	NA
1	0	2014-02-18 16:46:12	263	vCampus	186	NA
1	30	2014-02-18 16:46:42	263	vCampus	186	NA
1	0	2014-02-18 16:49:40	265	vResource	1464	NA
1	269	2014-02-18 16:51:11	263	vCampus	186	NA
1	0	2014-02-18 16:51:12	262	vResource	1464	NA
1	21	2014-02-18 16:51:32	263	vCampus	186	NA
1	0	2014-02-18 16:51:54	264	aResource	1465	NA
1	3	2014-02-18 16:51:57	264	eResource	1465	NA
1	2	2014-02-18 16:51:59	264	eResource	1465	NA
1	91	2014-02-18 16:52:43	262	vResource	1465	NA
1	217	2014-02-18 16:53:17	265	vResource	1465	NA
1	0	2014-02-18 16:53:40	268	vCampus	186	NA
1	18	2014-02-18 16:53:58	268	vCampus	186	NA
1	10	2014-02-18 16:54:08	268	vCampus	186	NA
1	16	2014-02-18 16:54:24	268	vCampus	186	NA
3	0	2014-02-18 17:07:18	1	vResource	1465	NA
3	68	2014-02-18 17:08:26	1	vResource	1465	NA
3	1019	2014-02-18 17:25:25	1	vGroup	162	NA
4	0	2014-02-19 12:41:38	1	vResource	1465	NA
4	362	2014-02-19 12:47:40	1	vResource	1465	NA
4	138	2014-02-19 12:49:58	1	vResource	1465	NA
5	0	2014-02-19 13:20:35	1	vResource	1465	NA
2	0	2014-02-19 13:48:29	265	vResource	1465	NA
6	0	2014-02-19 22:41:23	1	aGroup	187	NA
6	0	2014-02-19 22:41:23	1	vGroup	187	NA
7	0	2014-02-19 23:56:23	1	dComposition	259	NA
8	0	2014-02-20 00:48:21	1	vGroup	185	NA
9	0	2014-02-24 18:50:54	1	awareness	NA	NA
