created	author	rate	target	mean	votes	owner
2011-10-04 08:42:49	31	3	R773	3.5	2	31
2011-10-05 13:08:41	1	2	R784	3.33333	3	1
2011-10-05 22:06:12	31	4	R785	4	1	31
2011-10-10 11:04:22	33	4	R784	3.33333	3	1
2011-10-12 19:39:25	31	4	R804	3.5	2	30
2011-10-12 19:54:14	31	5	R803	4.33333	3	30
2011-10-12 20:19:11	31	4	R802	4	2	30
2011-10-12 22:42:05	1	4	R803	4.33333	3	30
2011-10-12 22:57:59	1	4	R802	4	2	30
2011-10-14 17:38:31	31	3	R807	3.5	2	33
2011-10-14 18:20:23	31	5	R810	4.6	5	31
2011-10-14 19:01:44	31	4	R811	4	3	31
2011-10-15 02:01:35	1	4	R810	4.6	5	31
2011-10-15 12:46:47	33	5	R812	4.5	2	33
2011-10-15 16:52:56	31	4	R812	4.5	2	33
2011-10-15 16:56:05	31	5	R813	5	3	33
2011-10-15 17:35:49	31	5	R814	4.33333	3	33
2011-10-15 17:40:00	31	2	R815	3	4	33
2011-10-16 23:44:49	1	4	R816	4.2	5	34
2011-10-16 23:57:27	34	4	R818	3	2	34
2011-10-16 23:58:14	34	4	R817	4.5	4	34
2011-10-16 23:59:06	34	5	R816	4.2	5	34
2011-10-17 00:01:17	34	5	R813	5	3	33
2011-10-17 00:05:57	34	3	R814	4.33333	3	33
2011-10-17 00:12:46	34	3	R815	3	4	33
2011-10-17 00:18:25	31	3	R816	4.2	5	34
2011-10-17 00:22:55	31	5	R817	4.5	4	34
2011-10-17 00:32:50	31	2	R818	3	2	34
2011-10-17 00:43:41	31	4	R819	4	4	31
2011-10-17 12:49:02	33	4	R819	4	4	31
2011-10-17 12:55:40	33	4	R817	4.5	4	34
2011-10-17 12:55:55	33	3	R815	3	4	33
2011-10-17 12:57:06	33	5	R814	4.33333	3	33
2011-10-17 13:34:59	33	5	R816	4.2	5	34
2011-10-17 13:52:55	32	4	R815	3	4	33
2011-10-17 14:02:34	32	4	R820	3.5	2	32
2011-10-18 00:06:42	31	3	R820	3.5	2	32
2011-10-18 00:18:15	31	5	R823	4.8	5	31
2011-10-18 00:23:58	1	5	R823	4.8	5	31
2011-10-18 14:22:04	32	4	R803	4.33333	3	30
