"";"Q1.MOTIVATION.ATTENTION.MULTIMEDIA";"Q2.MOTIVATION.ATTENTION.INTERACTIVITY";"Q3.MOTIVATION.CONFIDENCE.MULTIMEDIA";"Q4.MOTIVATION.CONFIDENCE.INTERACTIVITY";"Q5.MOTIVATION.RELEVANCE";"Q6.MOTIVATION.RELEVANCE.CURIOSITY";"Q7.MOTIVATION.RELEVANCE.REFLEXION";"Q8.MOTIVATION.SATISFACTION.MULTIMEDIA";"Q9.MOTIVATION.SATISFACTION.INTERACTIVITY";"Q10.FORMAT.COMPLETE";"Q11.FORMAT.DIDACTIC";"Q12.FORMAT.EFFECTIVE";"Q13.INTERACTIVITY.OVERLOAD.LOW";"Q14.INTERACTIVITY.OVERLOAD.HIGH";"Q15.INTERACTIVITY.SOCIAL.GLOBAL";"Q16.INTERACTIVITY.SOCIAL.PUBLIC";"Q17.INTERACTIVITY.SOCIAL.ANONIMOUS";"Q18.SOCIALMEDIA.PRIVACITY";"Q19.SOCIALMEDIA.FACEBOOK";"Q20.SOCIALMEDIA.LMS"
"1";2;2;2;2;2;2;3;3;3;3;3;2;2;3;2;2;3;2;2;4
"2";1;1;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;1;2;4
"3";2;2;3;3;2;2;2;2;3;3;3;2;3;2;3;3;3;1;1;4
"4";2;2;1;2;1;1;2;3;3;2;2;1;2;2;3;3;3;2;1;4
"5";1;1;1;1;2;2;2;2;2;3;4;3;2;2;3;3;4;2;3;2
"6";3;3;2;2;2;2;1;3;4;4;3;4;2;3;4;4;4;2;2;4
"7";4;4;4;2;4;3;2;4;2;4;4;2;4;4;4;4;4;4;1;4
"8";2;4;2;2;3;3;3;3;4;3;3;4;3;2;3;3;3;1;1;4
"9";2;2;2;3;2;2;2;3;3;3;2;3;3;3;4;4;4;4;4;2
"10";2;2;2;3;2;2;2;3;3;3;2;3;3;3;4;4;4;4;4;2
"11";2;4;2;3;3;2;2;3;4;3;3;4;3;3;3;3;3;2;2;4
"12";2;2;3;3;3;2;2;2;3;2;2;3;3;4;4;3;4;1;1;4
"13";3;2;4;2;4;3;4;3;3;4;4;3;3;2;4;4;4;1;4;1
"14";2;2;2;2;2;1;2;4;4;3;3;1;2;2;3;2;3;1;1;4
"15";3;2;2;2;3;3;2;3;3;3;3;3;3;2;3;3;3;2;2;3
"16";3;4;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3
"17";3;3;2;2;2;3;2;2;2;2;2;2;4;3;3;3;3;2;1;3
"18";3;3;3;3;3;2;3;4;4;3;4;4;4;2;4;3;4;3;2;4
"19";2;1;2;2;2;2;2;3;1;3;2;1;3;2;3;3;3;1;1;4
"20";1;1;1;1;1;1;1;3;1;3;1;1;3;3;1;1;1;1;1;4
"21";1;2;1;1;4;2;3;2;2;2;1;1;2;2;3;2;2;1;1;4
"22";3;1;3;2;2;3;2;2;4;4;4;4;3;3;3;2;3;2;1;4
"23";3;4;4;2;4;2;3;4;4;4;4;4;4;4;4;4;3;2;2;4
"24";4;3;3;3;4;3;3;4;3;3;4;2;3;3;4;3;3;3;3;4
"25";1;1;1;2;1;1;1;1;1;3;3;2;3;1;1;3;1;2;1;2
