created	author	ranking	votes	viewers	annotations	ntags	scripts	sd	tags
2013-01-22 22:12:58	1	3.75	4	25	2	4	2	0.95742710775634	eduard punset:Redes sociales:datos generales:difusión de información
2013-01-24 17:21:42	231	3	1	13	1	2	1	0	Redes sociales:opensocial
2013-02-04 10:38:29	1	4	1	6	0	2	1	0	eduard punset:Redes sociales
2013-02-04 10:38:57	1	5	2	26	1	2	1	0	eduard punset:Redes sociales
2013-02-06 17:21:01	233	4	1	11	3	2	1	0	social networks:estadistica
2013-02-06 17:24:26	236	5	1	5	0	0	0	0	
2013-02-06 17:25:27	236	5	1	3	0	0	0	0	
2013-02-06 17:25:43	238	2.5	2	8	0	0	0	2.1213203435596	
2013-02-06 17:26:21	238	3	1	29	1	1	3	0	informativo
2013-02-06 17:28:30	231	0	0	22	0	0	1	0	
2013-02-06 17:29:14	231	4	1	17	1	0	1	0	
2013-02-06 17:51:08	241	5	2	4	2	1	0	0	transmitir valores
2013-02-07 00:58:12	235	4.33333	3	25	1	2	1	1.1547005383793	tag:interesante
2013-02-07 01:17:54	241	4	1	4	1	3	0	0	tag:tag:tutorial
2013-02-07 01:42:44	241	4.5	2	35	2	3	1	0.70710678118655	tag:tag:web 2.0
2013-02-07 02:10:52	235	3.66667	3	16	2	1	1	2.3094010767585	tag
2013-02-07 14:07:30	234	4	2	27	2	4	1	0	tag:tag:tag:habilidades
2013-02-07 20:14:25	241	0	0	9	0	1	1	0	tag
2013-02-07 22:38:21	232	3.75	4	21	6	5	0	1.2583057392118	tag:proactivo:modelos educativos:interdependencia:informativo
2013-02-07 22:51:09	238	2	1	2	1	2	0	0	tag:esfuerzo de aprendizaje
2013-02-07 22:53:33	238	0	0	5	1	1	0	0	tag
2013-02-07 22:54:19	238	4.33333	3	8	3	1	0	0.57735026918963	tag
2013-02-07 22:54:34	238	3.33333	3	12	3	2	0	1.5275252316519	tag:educación personalizada
2013-02-07 23:11:03	232	2.33333	3	15	5	2	1	1.1547005383793	mlearning:mlearning herramienta
2013-02-08 00:26:09	233	3	2	9	2	4	0	2.8284271247462	tag:pierre dillenbourg:blended learning:complejo
2013-02-08 00:38:10	233	5	3	14	2	6	1	0	tag:yannis dimiatriadis:cscl:educación:hacer colaboración:adaptación
2013-02-08 01:57:49	241	2.75	4	33	4	3	1	1.5	tag:tag:sociedad del conocimiento
2013-02-11 04:21:15	241	3.66667	3	20	2	3	2	1.5275252316519	tag:snci:esencia 2.0
2013-02-12 01:04:38	235	4.66667	3	8	3	5	1	0.57735026918963	tag:tag:blended learning:proyecto uned:excelente seminario
2013-02-12 13:22:10	232	3	2	15	2	2	0	1.4142135623731	tag:tradionalista
2013-02-12 18:33:09	240	4	3	12	3	3	0	1	paradigmas:pionero:colono
2013-02-14 02:29:01	235	5	1	3	0	3	1	3.5355339059327	tag:tag:tics e innovaciÓn
2013-02-14 02:30:04	235	2.66667	3	9	2	4	1	2.0816659994661	tag:tag:intereses compartidos:compartir
